[u'panpipe', 0.12358634, u'triceratops', 0.074489996, u'rifle', 0.030928409, u'cliff', 0.030302804, u'military_uniform', 0.029242663]
[u'syringe', 0.61408287, u'crossword_puzzle', 0.1126304, u'wig', 0.014531923, u'lighter', 0.012528807, u'spatula', 0.012269786]
[u'bikini', 0.95797253, u'brassiere', 0.02934243, u'maillot', 0.0071272398, u'swimming_trunks', 0.0021666691, u'comic_book', 0.00093703979]
[u'comic_book', 0.9428215, u'brassiere', 0.012711562, u'bakery', 0.0085933413, u'grocery_store', 0.0053298529, u'confectionery', 0.0032732063]
[u'bikini', 0.48944861, u'tub', 0.15456448, u'swimming_trunks', 0.099178202, u'brassiere', 0.044144321, u'bathing_cap', 0.036929328]
[u'tub', 0.17921442, u'punching_bag', 0.17825544, u'bathtub', 0.13663265, u'bathing_cap', 0.064087614, u'brassiere', 0.045575526]
[u'dishwasher', 0.40701845, u'bikini', 0.2687161, u'brassiere', 0.10466944, u'window_shade', 0.044553842, u'bannister', 0.03192801]
[u'diaper', 0.24413359, u'comic_book', 0.17776653, u'bikini', 0.13348234, u'swimming_trunks', 0.098033816, u'brassiere', 0.092832841]
[u'bikini', 0.26936507, u'maillot', 0.1493084, u'swimming_trunks', 0.14118129, u'barbell', 0.08110778, u'maillot', 0.069812268]
[u'swimming_trunks', 0.38478506, u'vizsla', 0.18004988, u'bathing_cap', 0.092244104, u'bikini', 0.091437705, u'maillot', 0.060545202]
[u'plunger', 0.3257314, u'bikini', 0.09171778, u'hair_spray', 0.082314447, u'dumbbell', 0.074573278, u'conch', 0.053215101]
[u'swimming_trunks', 0.55936837, u'parallel_bars', 0.075826123, u'diaper', 0.026885528, u'bikini', 0.023690965, u'horizontal_bar', 0.021676792]
[u'banded_gecko', 0.53019041, u'African_chameleon', 0.070733726, u'carousel', 0.062832884, u'triceratops', 0.025104154, u'oxcart', 0.023635756]
[u'bikini', 0.42340311, u'maillot', 0.31798768, u'maillot', 0.15012997, u'miniskirt', 0.037206516, u'swimming_trunks', 0.019468445]
[u'gyromitra', 0.83770537, u'vizsla', 0.071783543, u'swimming_trunks', 0.026394118, u'rotisserie', 0.0054118773, u'fur_coat', 0.0040519829]
[u'bikini', 0.48195627, u'swimming_trunks', 0.1712998, u'studio_couch', 0.077610925, u'maillot', 0.059974506, u'miniskirt', 0.053489342]
[u'shower_cap', 0.3969402, u'swimming_trunks', 0.12377769, u'diaper', 0.027927911, u'pedestal', 0.021075515, u'sarong', 0.019120196]
[u'brassiere', 0.54235923, u'bikini', 0.10958805, u'miniskirt', 0.085629344, u'sunglasses', 0.074833401, u'maillot', 0.057733923]
[u'brassiere', 0.26170248, u'bikini', 0.25454515, u'diaper', 0.19277656, u'swimming_trunks', 0.098586164, u'pedestal', 0.054231308]
[u'bikini', 0.22437076, u'maillot', 0.20197886, u'brassiere', 0.12262934, u'miniskirt', 0.11731116, u'limousine', 0.064501181]
[u'bikini', 0.61721492, u'cloak', 0.11061221, u'maillot', 0.088739835, u'mask', 0.03454582, u'wig', 0.024966732]
[u'swimming_trunks', 0.72405255, u'diaper', 0.10324141, u'brassiere', 0.026129369, u'tub', 0.02229975, u'punching_bag', 0.016283927]
[u'swimming_trunks', 0.43446431, u'bikini', 0.17258474, u'tub', 0.15771522, u'sarong', 0.044266529, u'maillot', 0.025283514]
[u'barbell', 0.22809456, u'basenji', 0.11079092, u'swimming_trunks', 0.10020185, u'toyshop', 0.085999392, u'Boston_bull', 0.044875477]
[u'brassiere', 0.6010806, u'maillot', 0.19099286, u'knee_pad', 0.063012503, u'swimming_trunks', 0.062109873, u'dumbbell', 0.026631067]
[u'maillot', 0.25392473, u'maillot', 0.24760085, u'bikini', 0.22316924, u'miniskirt', 0.21246617, u'pole', 0.016341157]
