[u'suit', 0.37095156, u'Loafer', 0.14817353, u'studio_couch', 0.11718976, u'groom', 0.044345949, u'grand_piano', 0.039784372]
[u'miniskirt', 0.92125165, u'photocopier', 0.033402119, u'jean', 0.0042915088, u'cash_machine', 0.0039736214, u'notebook', 0.0036057879]
[u'mailbag', 0.57962793, u'brassiere', 0.087098092, u'bikini', 0.06962274, u'maillot', 0.049571846, u'backpack', 0.022303607]
[u'suit', 0.32210585, u'Loafer', 0.11235841, u'notebook', 0.048697099, u'groom', 0.034916926, u'rocking_chair', 0.031728949]
[u'miniskirt', 0.40627718, u'soccer_ball', 0.049651839, u'knee_pad', 0.049105935, u'jean', 0.034111038, u'diaper', 0.03108966]
[u'bonnet', 0.33996144, u'bathing_cap', 0.18424988, u'hair_spray', 0.026665078, u'water_bottle', 0.020449515, u'bubble', 0.010922843]
[u'gown', 0.59769088, u'groom', 0.21205053, u'hoopskirt', 0.031476773, u'lab_coat', 0.014467879, u'oboe', 0.014188234]
[u'swimming_trunks', 0.55228567, u'bath_towel', 0.25868252, u'diaper', 0.05377581, u'sunscreen', 0.041381821, u'sarong', 0.039833114]
[u'pajama', 0.3589167, u'miniskirt', 0.21650906, u'jean', 0.10745292, u'bath_towel', 0.062097952, u'cardigan', 0.03983527]
[u'diaper', 0.29524055, u'bikini', 0.27791229, u'maillot', 0.26845014, u'brassiere', 0.093002796, u'miniskirt', 0.018348737]
[u'brassiere', 0.43919078, u'bikini', 0.22205289, u'swimming_trunks', 0.068266869, u'maillot', 0.059446167, u'miniskirt', 0.044069301]
[u'refrigerator', 0.11248508, u'jean', 0.092109509, u'violin', 0.092005737, u'power_drill', 0.055043157, u'reel', 0.051423009]
[u'dumbbell', 0.34735948, u'maillot', 0.24476062, u'maillot', 0.109232, u'bathing_cap', 0.045526683, u'miniskirt', 0.02496751]
[u'bikini', 0.20674512, u'brassiere', 0.14933358, u'maillot', 0.12139833, u'maillot', 0.10760137, u'gown', 0.035416972]
[u'refrigerator', 0.31391579, u'dishwasher', 0.078419358, u'parallel_bars', 0.065804966, u'photocopier', 0.060410365, u'stretcher', 0.048910752]
[u'tub', 0.34455439, u'bathtub', 0.093772158, u'sunscreen', 0.086562455, u'diaper', 0.051516313, u'swimming_trunks', 0.04863416]
[u'shoe_shop', 0.47993329, u'miniskirt', 0.136593, u'running_shoe', 0.059876516, u'jean', 0.018442957, u'remote_control', 0.01625471]
[u'puck', 0.17572407, u'oil_filter', 0.17236371, u'bottlecap', 0.10790619, u'matchstick', 0.046719883, u'doormat', 0.036886655]
[u'bubble', 0.99992096, u'water_bottle', 5.0507118e-05, u'oxygen_mask', 1.1847358e-05, u'goblet', 5.2865953e-06, u'perfume', 3.6685378e-06]
