[u'bikini', 0.27044547, u'comic_book', 0.2538183, u'brassiere', 0.21392752, u'bathing_cap', 0.093207456, u'maillot', 0.037841022]
[u'drumstick', 0.10282671, u'syringe', 0.096328586, u'brassiere', 0.082728133, u'crossword_puzzle', 0.073800661, u'oboe', 0.06923449]
[u'swimming_trunks', 0.47359198, u'wig', 0.19266705, u'maillot', 0.032961886, u'sarong', 0.031212181, u'maillot', 0.029511472]
[u'diaper', 0.24014935, u'earthstar', 0.20896438, u'swimming_trunks', 0.11635368, u'hen-of-the-woods', 0.062560961, u'comic_book', 0.0541717]
[u'bikini', 0.8063392, u'maillot', 0.10961481, u'brassiere', 0.042485315, u'window_screen', 0.011979374, u'maillot', 0.0053012902]
[u'brassiere', 0.16638879, u'miniskirt', 0.07969182, u'maillot', 0.074935965, u'gown', 0.054223493, u'overskirt', 0.053820148]
[u'park_bench', 0.19960052, u'swimming_trunks', 0.15769085, u'maillot', 0.11203581, u'sarong', 0.067761183, u'maillot', 0.05974374]
[u'comic_book', 0.97981411, u'jigsaw_puzzle', 0.0093298638, u'book_jacket', 0.0036870237, u'envelope', 0.0013749823, u'pillow', 0.00079625088]
[u'bikini', 0.53292012, u'maillot', 0.27476886, u'maillot', 0.10144415, u'sarong', 0.058209609, u'swimming_trunks', 0.0088468716]
[u'bikini', 0.23716292, u'rifle', 0.049840074, u'bathtub', 0.033177003, u'tub', 0.031780198, u'toilet_seat', 0.02843284]
[u'piggy_bank', 0.27256203, u'maillot', 0.11434112, u'bikini', 0.11297602, u'plunger', 0.093675785, u'punching_bag', 0.047526207]
[u'bikini', 0.79628187, u'maillot', 0.045507859, u'bathing_cap', 0.041431349, u'brassiere', 0.035618022, u'swimming_trunks', 0.027062856]
[u'syringe', 0.42218736, u'rule', 0.10964349, u'bathing_cap', 0.078912713, u'oboe', 0.075988032, u'cleaver', 0.051610719]
[u'punching_bag', 0.74559861, u'bearskin', 0.036459569, u'mouse', 0.013017596, u'seat_belt', 0.01298298, u'plunger', 0.0072957119]
[u'bikini', 0.44054085, u'maillot', 0.24485883, u'maillot', 0.15511586, u'swimming_trunks', 0.03157841, u'miniskirt', 0.030653903]
[u'swing', 0.99668354, u'chain', 0.0018920231, u'bikini', 0.0004600691, u'brassiere', 0.00019437238, u'scale', 0.00011151248]
[u'hair_spray', 0.24660012, u'bikini', 0.16244888, u'hair_slide', 0.044558305, u'brassiere', 0.0299615, u'stretcher', 0.02342882]
[u'brassiere', 0.67923105, u'maillot', 0.17421204, u'bikini', 0.1144874, u'maillot', 0.013795975, u'swimming_trunks', 0.0052249827]
[u'bikini', 0.48296309, u'brassiere', 0.12147591, u'maillot', 0.046208985, u'sandal', 0.032286201, u'comic_book', 0.022350181]
[u'chain', 0.33524385, u'bikini', 0.14942773, u'wig', 0.1439548, u'necklace', 0.099121049, u'maillot', 0.061379958]
[u'brassiere', 0.28018445, u'Chesapeake_Bay_retriever', 0.097355083, u'Mexican_hairless', 0.076186106, u'Labrador_retriever', 0.060934767, u'Weimaraner', 0.054449264]
[u'swimming_trunks', 0.15922368, u'wardrobe', 0.13303192, u'bikini', 0.11487772, u'miniskirt', 0.034588698, u'maillot', 0.029498789]
[u'comic_book', 0.79627049, u'crossword_puzzle', 0.084866121, u'refrigerator', 0.017540812, u'espresso_maker', 0.015834972, u'hard_disc', 0.013419935]
[u'piggy_bank', 0.079009786, u'brassiere', 0.049670219, u'wig', 0.042541366, u'bikini', 0.039502464, u'bonnet', 0.034292933]
[u'swimming_trunks', 0.39809015, u'tub', 0.31860304, u'bathtub', 0.11969214, u'bikini', 0.054622181, u'bathing_cap', 0.039230742]
