[u'spotlight', 0.14389972, u'triceratops', 0.07770589, u'fountain', 0.076422557, u'table_lamp', 0.06553968, u'maraca', 0.035602976]
[u'maillot', 0.5899837, u'brassiere', 0.16459931, u'bikini', 0.10067052, u'miniskirt', 0.031719044, u'maillot', 0.018021101]
[u'half_track', 0.33228523, u'tank', 0.11375637, u'tractor', 0.06177016, u'limousine', 0.030598983, u'toyshop', 0.023529552]
[u'chain_saw', 0.35383838, u'gown', 0.083702914, u'maillot', 0.049117886, u'brassiere', 0.038567394, u'swimming_trunks', 0.031868741]
[u'comic_book', 0.15110058, u'triceratops', 0.098930545, u"potter's_wheel", 0.059027012, u'seat_belt', 0.036595576, u'electric_ray', 0.035703361]
[u'maillot', 0.49374568, u'bikini', 0.070049942, u'brassiere', 0.036543995, u'sunglass', 0.026157906, u'scorpion', 0.020780016]
[u'bathing_cap', 0.64333743, u'swimming_trunks', 0.16058928, u'bikini', 0.065513544, u'wig', 0.057942681, u'maillot', 0.016132478]
[u'drum', 0.26400214, u'comic_book', 0.2529304, u'candle', 0.093919359, u'brassiere', 0.031427212, u'carousel', 0.029271085]
[u'brassiere', 0.16470866, u'bikini', 0.11628745, u'conch', 0.10809452, u'diaper', 0.10091568, u'mask', 0.082574889]
[u'maillot', 0.078787968, u'brassiere', 0.05651531, u'bikini', 0.05362187, u'grand_piano', 0.052906208, u'gown', 0.041586362]
[u'diaper', 0.66492456, u'swimming_trunks', 0.11915167, u'knee_pad', 0.029214928, u'tub', 0.016938241, u'reel', 0.015088771]
[u'bikini', 0.51854169, u'swimming_trunks', 0.073624499, u'maillot', 0.06550166, u'maillot', 0.064253554, u'axolotl', 0.044912774]
[u'sarong', 0.22112633, u'gown', 0.15395631, u'maillot', 0.15310417, u'overskirt', 0.085836567, u'maillot', 0.042840894]
[u'bikini', 0.26696146, u'television', 0.062765062, u'maillot', 0.051739193, u'fire_engine', 0.026654411, u'snorkel', 0.023970732]
[u'studio_couch', 0.20512392, u'brassiere', 0.19767703, u'butcher_shop', 0.19456854, u'throne', 0.10255408, u'bikini', 0.046843641]
[u'corkscrew', 0.073151127, u'binder', 0.072926976, u'tray', 0.051936857, u'ladle', 0.031316258, u'can_opener', 0.028988959]
[u'butcher_shop', 0.43198299, u'king_crab', 0.14345436, u'gown', 0.088501029, u'groom', 0.04233839, u'sarong', 0.041119061]
[u'brassiere', 0.46652544, u'punching_bag', 0.098768659, u'maillot', 0.057199996, u'bikini', 0.047858521, u'plunger', 0.027148498]
