[u'shower_curtain', 0.13901593, u'crossword_puzzle', 0.07698454, u'quilt', 0.037355162, u'container_ship', 0.037282612, u'wool', 0.031639196]
[u'Angora', 0.05619717, u'library', 0.038428728, u'bookshop', 0.03037473, u'shower_curtain', 0.023856137, u'carton', 0.020106027]
[u'turnstile', 0.078262649, u'wall_clock', 0.054255277, u'library', 0.048420351, u'prison', 0.045625281, u'washer', 0.036434095]
[u'library', 0.3629514, u'bookshop', 0.27008474, u'tobacco_shop', 0.016545294, u'Old_English_sheepdog', 0.0092767058, u'solar_dish', 0.0083852233]
[u'Egyptian_cat', 0.035970706, u'Madagascar_cat', 0.025032612, u'indri', 0.024914006, u'window_screen', 0.022353822, u'vulture', 0.01738549]
[u'library', 0.1369344, u'stupa', 0.097087786, u'bookshop', 0.069181606, u'pedestal', 0.025938749, u'planetarium', 0.025403159]
[u'library', 0.4644894, u'bookshop', 0.06118929, u'dining_table', 0.026411206, u'grand_piano', 0.020911703, u'crane', 0.01510307]
[u'container_ship', 0.80020666, u'jigsaw_puzzle', 0.017011341, u'crossword_puzzle', 0.013943358, u'library', 0.011522656, u'quilt', 0.0081761889]
[u'library', 0.22591549, u'bookshop', 0.080787718, u'window_screen', 0.037386172, u'patio', 0.02458374, u'dining_table', 0.023049083]
[u'Windsor_tie', 0.042996816, u'shower_curtain', 0.037063416, u'library', 0.035134654, u'bookshop', 0.032388527, u'wool', 0.026657781]
[u'container_ship', 0.36005336, u'library', 0.067268774, u'digital_clock', 0.063643962, u'bookshop', 0.047200397, u'medicine_chest', 0.039539598]
[u'library', 0.32223374, u'dining_table', 0.073662676, u'bookshop', 0.073109195, u'bookcase', 0.070534378, u'desk', 0.064706944]
[u'German_shepherd', 0.089516096, u'Airedale', 0.03337051, u'kelpie', 0.032894563, u'miniature_pinscher', 0.030107075, u'bloodhound', 0.027334252]
[u'oscilloscope', 0.2859861, u'monitor', 0.06401287, u'screen', 0.061526533, u'planetarium', 0.029394489, u'projector', 0.020957118]
[u'window_screen', 0.059909359, u'Egyptian_cat', 0.019438906, u'Angora', 0.016706429, u'solar_dish', 0.016562577, u'borzoi', 0.014590314]
[u'switch', 0.13980754, u'digital_clock', 0.075751454, u'wall_clock', 0.065675557, u'crib', 0.043190263, u'picket_fence', 0.035996936]
[u'dining_table', 0.041822352, u'window_screen', 0.03875405, u'German_shepherd', 0.035718195, u'shoji', 0.035524424, u'suit', 0.025984675]
[u'cleaver', 0.019505175, u'envelope', 0.014030516, u'hatchet', 0.012793035, u'letter_opener', 0.011917172, u'corkscrew', 0.01188547]
[u'shower_curtain', 0.44963947, u'prison', 0.066653728, u'window_shade', 0.047484573, u'sliding_door', 0.035081264, u'radiator', 0.016026327]
[u'sliding_door', 0.076564766, u'window_shade', 0.068781346, u'shower_curtain', 0.067979105, u'window_screen', 0.067714766, u'shoji', 0.057629306]
[u'sliding_door', 0.067243688, u'bookshop', 0.057475451, u'window_screen', 0.05619961, u'library', 0.052069962, u'pedestal', 0.045087859]
[u'library', 0.054140959, u'prison', 0.043029118, u'restaurant', 0.034981057, u'dining_table', 0.028927216, u'window_screen', 0.016958393]
[u'container_ship', 0.24330331, u'switch', 0.1658112, u'crane', 0.14009653, u'drilling_platform', 0.045069832, u'traffic_light', 0.034933515]
[u'window_screen', 0.087158047, u'Egyptian_cat', 0.016932677, u'German_shepherd', 0.01278695, u'shower_curtain', 0.011865963, u'white_wolf', 0.010968394]
[u'library', 0.18334296, u'bookshop', 0.16943957, u'vault', 0.054543059, u'tobacco_shop', 0.02703869, u'window_screen', 0.021550249]
