[u'gown', 0.23062292, u'brassiere', 0.12243654, u'bikini', 0.11396201, u'hoopskirt', 0.092920169, u'swimming_trunks', 0.055961154]
[u'head_cabbage', 0.27683067, u'sleeping_bag', 0.14452702, u'Granny_Smith', 0.12708715, u'shower_cap', 0.083961353, u'cucumber', 0.044673052]
[u'punching_bag', 0.12507464, u'traffic_light', 0.083544679, u"jack-o'-lantern", 0.055601586, u'digital_clock', 0.036195617, u'violin', 0.033119094]
[u'piggy_bank', 0.15095192, u'brassiere', 0.10582177, u'perfume', 0.069692336, u'bikini', 0.049558263, u'teddy', 0.047805585]
[u'bikini', 0.3539066, u'maillot', 0.086805329, u'maillot', 0.06696371, u'sunscreen', 0.059043612, u'hair_spray', 0.055986784]
[u'miniskirt', 0.34029326, u'brassiere', 0.24426283, u'maillot', 0.18023869, u'bikini', 0.1139868, u'maillot', 0.054508224]
[u'window_shade', 0.10883572, u'shower_curtain', 0.0909824, u'monitor', 0.037768275, u'screen', 0.036391675, u'handkerchief', 0.027482284]
[u'butcher_shop', 0.67484665, u'cleaver', 0.13394964, u'frying_pan', 0.036806796, u'earthstar', 0.026503306, u'king_crab', 0.0096668238]
[u'bikini', 0.16575949, u'brassiere', 0.14331983, u'diaper', 0.10702492, u'maillot', 0.074295647, u'swimming_trunks', 0.058663867]
[u'brassiere', 0.16945802, u'bikini', 0.1360338, u'gasmask', 0.11660927, u'maillot', 0.058581837, u'butternut_squash', 0.049330406]
[u'drumstick', 0.45571199, u'barbell', 0.17506425, u'syringe', 0.047277402, u'trombone', 0.027983312, u'pole', 0.017919049]
[u'paintbrush', 0.15562703, u'swimming_trunks', 0.14835285, u'cleaver', 0.061873879, u'broom', 0.044672206, u'maillot', 0.043463767]
[u'cellular_telephone', 0.10822987, u'tray', 0.057223544, u'toaster', 0.05686621, u'digital_clock', 0.045756355, u'iPod', 0.045751691]
[u'lotion', 0.12076228, u'piggy_bank', 0.07615979, u'sunscreen', 0.051329061, u'diaper', 0.040532917, u'scale', 0.040520627]
[u'bikini', 0.32637396, u'maillot', 0.29016954, u'maillot', 0.17058432, u'brassiere', 0.027473576, u'window_shade', 0.02222399]
[u'miniskirt', 0.40412232, u'hand_blower', 0.063074328, u'maillot', 0.058282562, u'brassiere', 0.054633468, u'maillot', 0.033801947]
[u'sarong', 0.19626476, u'maillot', 0.1905437, u'bikini', 0.1353498, u'maillot', 0.079049639, u'miniskirt', 0.062284093]
[u'comic_book', 0.50523275, u'jigsaw_puzzle', 0.45423856, u'book_jacket', 0.0084084887, u'parachute', 0.0039303009, u'lampshade', 0.0032937159]
[u'bikini', 0.47459665, u'maillot', 0.29728973, u'maillot', 0.18507065, u'sarong', 0.016478013, u'bathing_cap', 0.0050033354]
[u'banjo', 0.17350702, u'scale', 0.068339065, u"potter's_wheel", 0.036420695, u'gong', 0.025150381, u'wig', 0.024616791]
[u'theater_curtain', 0.21234703, u'home_theater', 0.14127082, u'microwave', 0.068190001, u'sliding_door', 0.043007266, u'shoji', 0.031040493]
