[u'sliding_door', 0.15738119, u'window_shade', 0.099937066, u'shower_curtain', 0.080561839, u'washbasin', 0.040696856, u'crossword_puzzle', 0.038160346]
[u'chain', 0.10925511, u'bikini', 0.097153768, u'syringe', 0.068851843, u'brassiere', 0.06818068, u'gasmask', 0.05978068]
[u'container_ship', 0.11902107, u'planetarium', 0.078166731, u'cinema', 0.075811267, u'spotlight', 0.030655932, u'scoreboard', 0.030622883]
[u'maze', 0.13998638, u'organ', 0.10000703, u'vault', 0.077576689, u'radiator', 0.040885933, u'altar', 0.034418046]
[u'digital_clock', 0.14469783, u'digital_watch', 0.056102898, u"jack-o'-lantern", 0.048129179, u'odometer', 0.032660101, u'buckle', 0.018131889]
[u'swimming_trunks', 0.1375694, u'stretcher', 0.04877698, u'bathing_cap', 0.041181922, u'flute', 0.03580711, u'paintbrush', 0.025358301]
[u'container_ship', 0.1780737, u'crossword_puzzle', 0.075157128, u'combination_lock', 0.034118604, u'electric_guitar', 0.029684201, u'Gila_monster', 0.027408376]
[u'crossword_puzzle', 0.054021899, u'window_screen', 0.041494396, u'window_shade', 0.032463748, u'cash_machine', 0.028462097, u'digital_clock', 0.028323]
[u'container_ship', 0.99110109, u'balloon', 0.0013841636, u'parachute', 0.00063975248, u'airship', 0.00043673225, u'crane', 0.00040221727]
[u'window_screen', 0.2173893, u'window_shade', 0.10289634, u'sliding_door', 0.043270208, u'spotlight', 0.03693134, u'shoji', 0.023996493]
[u'container_ship', 0.37974969, u'balloon', 0.028964648, u'digital_clock', 0.028718628, u'bell_cote', 0.017061768, u'sea_snake', 0.014731839]
[u'library', 0.18015338, u'bookshop', 0.053435721, u'dining_table', 0.047270101, u'carton', 0.042351719, u'toilet_seat', 0.037347876]
[u'sliding_door', 0.084466569, u'shower_curtain', 0.082597487, u'shoji', 0.053003028, u'window_shade', 0.036793638, u'window_screen', 0.034466449]
[u'container_ship', 0.77040917, u'perfume', 0.017990736, u'beacon', 0.011106139, u'soap_dispenser', 0.0091812359, u'crane', 0.0078617064]
[u'cash_machine', 0.072686918, u'window_screen', 0.053701136, u'window_shade', 0.052028161, u'vault', 0.048281204, u'sliding_door', 0.040183067]
[u'wall_clock', 0.062113587, u'jigsaw_puzzle', 0.061428655, u'pencil_sharpener', 0.038189981, u'necklace', 0.035919186, u'envelope', 0.027397776]
[u'sliding_door', 0.095565185, u'library', 0.091660149, u'cash_machine', 0.035257295, u'turnstile', 0.034305684, u'bookshop', 0.029301066]
[u'library', 0.084518321, u'carton', 0.074942984, u'sliding_door', 0.025884466, u'dining_table', 0.025228815, u'container_ship', 0.02435264]
[u'sliding_door', 0.33660591, u'window_shade', 0.10155461, u'cash_machine', 0.035262678, u'window_screen', 0.033957206, u'shoji', 0.026413582]
[u'bannister', 0.14337447, u'grand_piano', 0.0774258, u'window_shade', 0.039747529, u'fire_screen', 0.035564598, u'coil', 0.035407163]
[u'digital_clock', 0.069861405, u'crossword_puzzle', 0.043893296, u'picket_fence', 0.037960861, u'container_ship', 0.028368359, u'toilet_seat', 0.027948853]
[u'digital_clock', 0.19125603, u'screen', 0.040679675, u'television', 0.038074635, u'monitor', 0.034350149, u'wall_clock', 0.032144722]
